#CALL#,Contact Amplex for Freight Charges
Maine,#CALL#
Vermont,#CALL#
Rhode,#CALL#
Connecticut,#CALL#
Massachusetts,#CALL#
New Hampshire,#CALL#
New Jersey,17.5% + tolls & $75.00 drop charge
Delaware,#CALL#
Maryland,17% plus $75.00 drop charge
Virginia,15-1/2% plus $75.00 drop charge
New York,18% + tolls plus $75.00 drop charge
West Virginia,#CALL#
Pennsylvania,#CALL#
North Carolina,12-1/2% plus $75.00 drop charge
South Carolina,12% plus $75.00 drop charge
Florida,Click link above map<br />for Florida Freight Charges.
Tennessee,14% plus $75.00 drop charge
Kentucky,15% plus $75.00 drop charge
Ohio,#CALL#
Indiana,#CALL#
Alabama,#CALL#
Mississippi,#CALL#
Michigan,#CALL#
Wisconsin,#CALL#
Illinois,#CALL#
Minnesota,#CALL#
Iowa,#CALL#
Louisiana,#CALL#
Arkansas,#CALL#
Missouri,#CALL#
North Dakota,#CALL#
South Dakota,#CALL#
Nebraska,#CALL#
Kansas,#CALL#
Oklahoma,#CALL#
Texas,#CALL#
New Mexico,#CALL#
Colorado,#CALL#
Wyoming,#CALL#
Montana,#CALL#
Idaho,#CALL#
Utah,#CALL#
Arizona,#CALL#
Nevada,#CALL#
Washington,#CALL#
California,#CALL#
Oregon,#CALL#
Dallas,15.5% plus $75.00 drop charge
Houston,15% plus $75.00 drop charge
Spring,15% plus $75.00 drop charge
Brownsville,18% plus $75.00 drop charge
San Antonio,16% plus $75.00 drop charge
Baton Rouge,14% plus $75.00 drop charge
Lafayette,14.5% plus $75.00 drop charge
New Orleans,13.5% plus $75.00 drop charge
Biloxi,12.5% plus $75.00 drop charge
South Texas,18% plus $75.00 drop charge
North Texas,#CALL#
North Mississippi,13.5% plus $75.00 drop charge
South Mississippi,#CALL#
Mobile,11.5% plus $75.00 drop charge
Huntsville,12.5% plus $75.00 drop charge
Birmingham,12.5% plus $75.00 drop charge
Montgomery,12% plus $75.00 drop charge
Columbus,11.5% plus $75.00 drop charge
Atlanta,11.5% plus $75.00 drop charge
NC/VA Border,14% plus $75.00 drop charge
North Georgia,12% + $75.00 dropcharge
South Georgia,#CALL#
Eastern Georgia,11%	 plus $75.00 drop charge
